Sample,Phase,Density,VRH,C11,C12,C13,C14,C15,C16,C22,C23,C24,C25,C26,C33,C34,C35,C36,C44,C45,C46,C55,C56,C66,Quartz,Feldspar,Biotite,Muscovite,Chlorite,Hornblende,Garnet,Pyrite,AH,AI,AJ,AK,AL,AM,AN
9,3,3.05,1,1.6592,0.22355,0.30276,0.0045627,-0.035338,0.070607,0.66549,0.26281,0.014413,0.013429,0.0028401,1.4691,0.051594,-0.022627,-0.0032315,0.24243,0.019837,-0.0012022,0.62197,0.027747,0.25273,0,0,1,0,0,0,0,0,0,0,0,0,0,,
9,3,3.05,2,0.92297,0.28928,0.30329,-0.0015051,-0.041895,0.035009,0.49526,0.31485,0.00085562,0.0079289,-0.0030549,0.72077,0.015605,-0.012592,-0.004332,0.08338,0.0065964,0.00079252,0.23531,0.0089211,0.083649,0,0,1,0,0,0,0,0,0,0,0,0,0,,
9,13,4.6,1,2.6563,1.4608,1.4539,-0.0033517,-0.0019172,-0.0079609,2.6515,1.4587,0.0024375,-0.0028381,0.0070405,2.6584,0.00091419,0.0047553,0.00092039,0.6087,0.00092039,-0.0028381,0.60393,-0.0033517,0.61077,0,0,0,0,0,0,0,0,0,0,0,0,1,,
9,13,4.6,2,2.6536,1.4621,1.4553,-0.0033804,-0.0019222,-0.0081093,2.6488,1.4601,0.0024301,-0.0028986,0.0071656,2.6555,0.00095032,0.0048208,0.00094369,0.60675,0.00096647,-0.0029195,0.60187,-0.0034641,0.609,0,0,0,0,0,0,0,0,0,0,0,0,1,,
17,0,2.9027,1,1.2869,0.29678,0.32725,-0.010017,-0.0024482,0.020287,1.0378,0.31554,-0.0024905,-0.0053121,0.0082063,1.2578,-0.050189,-0.00081206,0.0032922,0.41362,0.0091945,-0.0068523,0.47421,-0.020055,0.39805,0.34936,0.1112,0,0.34689,0.06442,0,0.014303,0,0.08471,0.015925,0.011462,0.0017325,,,
17,0,2.9027,2,0.96757,0.25153,0.26337,-0.0069417,-0.0037883,0.016166,0.79737,0.26379,-0.0014606,-0.001495,0.0026069,0.94961,-0.036972,-0.0025019,0.0025369,0.28907,0.0092707,-0.0039536,0.34609,-0.016904,0.28146,0.34936,0.1112,0,0.34689,0.06442,0,0.014303,0,0.08471,0.015925,0.011462,0.0017325,,,
17,0,2.9027,3,1.1272,0.27416,0.29531,-0.0084794,-0.0031183,0.018227,0.91761,0.28967,-0.0019755,-0.0034035,0.0054066,1.1037,-0.04358,-0.001657,0.0029146,0.35135,0.0092326,-0.005403,0.41015,-0.018479,0.33975,0.34936,0.1112,0,0.34689,0.06442,0,0.014303,0,0.08471,0.015925,0.011462,0.0017325,,,
17,1,2.649,1,1.0101,0.055812,0.065245,-0.003083,0.0075454,-0.0060156,1.0062,0.092552,0.029169,-0.013801,0.0039667,0.97551,-0.024252,0.01075,-0.0022084,0.5161,-0.0048121,-0.011052,0.47448,-0.0019616,0.47803,1,0,0,0,0,0,0,0,0,0,0,0,,,
17,1,2.649,2,0.91605,0.096193,0.10623,-0.0027167,0.0061464,-0.0064255,0.92102,0.12354,0.02556,-0.011244,0.0028052,0.89132,-0.020261,0.0090514,-0.00042655,0.44933,-0.004802,-0.0081219,0.4076,-0.0010369,0.41312,1,0,0,0,0,0,0,0,0,0,0,0,,,
17,2,2.686,1,1.0751,0.44111,0.42729,-0.0039451,0.0076704,-0.00030043,1.1176,0.43791,-0.0026185,0.0079179,0.0016379,1.0747,-0.0012831,0.01019,-0.0013742,0.32916,-0.0017273,0.0024409,0.32732,-0.0022665,0.33083,0,1,0,0,0,0,0,0,0,0,0,0,,,
